date,firm,n,sd,source,FIPDLFI,IdV,LN,UdC,LADESTRA,PD,M5S,FdI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI
2008-02-19,IPR,NA,NA,NA,38,3.5,6.5,7.5,3,31,,,,,,,,,,
2008-02-19,Demoskopea,NA,NA,NA,40,2,4.5,7,,32.5,,,,,,,,,,
2008-02-20,EURISKO,NA,NA,NA,40.5,3.4,4.5,7,1,35.6,,,,,,,,,,
2008-02-22,EUROMEDIA,NA,NA,NA,40.6,3.5,5.6,5,1.2,32.9,,,,,,,,,,
2008-02-24,Digis,NA,NA,NA,38.2,3.9,4.8,7.2,1.5,34.4,,,,,,,,,,
2008-02-25,IPSOS,NA,NA,NA,39.4,4,5.5,6,1,34.5,,,,,,,,,,
2008-02-26,Demoskopea,NA,NA,NA,39.5,2,4,7,2,34.5,,,,,,,,,,
2008-02-27,Dinamiche,NA,NA,NA,38.5,3.5,5.5,5.5,2,33,,,,,,,,,,
2008-02-27,Demopolis,NA,NA,NA,39,3.5,5,6,2,33.5,,,,,,,,,,
2008-02-29,IPR,NA,NA,NA,38,4,4.5,7,2.5,32,,,,,,,,,,
2008-03-01,EUROMEDIA,NA,NA,NA,40,3,5,5.7,2.2,32.4,,,,,,,,,,
2008-03-01,Digis,NA,NA,NA,40.3,3.4,4.6,6.9,1.3,34.5,,,,,,,,,,
2008-03-02,ISPO,NA,NA,NA,38.5,3,5.5,6.5,2.5,34.5,,,,,,,,,,
2008-03-03,IPSOS,NA,NA,NA,38.9,4.1,5.3,6.3,1.8,33.7,,,,,,,,,,
2008-03-04,Demoskopea,NA,NA,NA,40.5,2.5,4,7.5,2,33.5,,,,,,,,,,
2008-03-06,IPR,NA,NA,NA,38.5,4,4.5,7,2,32.5,,,,,,,,,,
2008-03-09,Digis,NA,NA,NA,41.1,3.3,4.6,7,1.5,33.4,,,,,,,,,,
2008-03-10,ISPO,NA,NA,NA,39,3,4.5,5.5,3.5,33.5,,,,,,,,,,
2008-03-10,IPSOS,NA,NA,NA,40,4.5,5.1,6,2.1,33.3,,,,,,,,,,
2008-03-10,DEMOS,NA,NA,NA,39.3,4.5,5.5,6,1.9,34,,,,,,,,,,
2008-03-11,Demoskopea,NA,NA,NA,40.5,2.5,4,7,2.5,33.5,,,,,,,,,,
2008-03-12,Demopolis,NA,NA,NA,38,3.5,5,6.5,2.5,33.5,,,,,,,,,,
2008-03-15,IPR,NA,NA,NA,38.5,3.5,4.5,6.5,2.5,33,,,,,,,,,,
2008-03-16,IPSOS,NA,NA,NA,38.5,3,5.5,6.5,2.5,35,,,,,,,,,,
2008-03-16,Digis,NA,NA,NA,40.4,3.7,4.1,6.9,1.6,34.5,,,,,,,,,,
2008-03-17,Dinamiche,NA,NA,NA,37.9,3.7,5.6,6.1,2,33.2,,,,,,,,,,
2008-03-18,Demoskopea,NA,NA,NA,40.5,2.5,5,6,2.5,34.5,,,,,,,,,,
2008-03-21,ISPO,NA,NA,NA,39.5,3.5,4.5,5.5,1.5,35,,,,,,,,,,
2008-03-21,Digis,NA,NA,NA,41,3.4,4.1,6,1.7,35,,,,,,,,,,
2008-03-23,IPSOS,NA,NA,NA,39.6,4.4,4.9,6,2.1,33.9,,,,,,,,,,
2008-03-25,Demoskopea,NA,NA,NA,40,2.5,5.5,6,2,35,,,,,,,,,,
2008-03-26,DEMOS,NA,NA,NA,39.8,4.3,5.9,5.8,,34.8,,,,,,,,,,
2008-03-27,Digis,NA,NA,NA,40.4,3.6,4.1,6.5,1.8,35,,,,,,,,,,
2008-03-27,Demopolis,NA,NA,NA,38.5,3,4.5,6,2.5,35,,,,,,,,,,
2008-04-14,"POLITICHE 2008",NA,NA,NA,37.4,4.4,8.3,5.6,2.4,33.1,,,,,,,,,,
2008-07-31,EUROMEDIA,NA,NA,NA,41.4,4.3,9,4.5,1.5,29.1,,,,,,,,,,
2008-09-01,CRESPI,NA,NA,NA,42,8,9,4,2,28,,,,,,,,,,
2008-09-02,CONSORTIUM,NA,NA,NA,42,6,9,4.5,1.5,31.5,,,,,,,,,,
2008-09-04,Dinamiche,NA,NA,NA,39.6,8.2,9.1,5.6,1.9,28.7,,,,,,,,,,
2008-09-06,EUROMEDIA,NA,NA,NA,42,4.5,9,4.7,1.6,28.1,,,,,,,,,,
2008-09-15,CONSORTIUM,NA,NA,NA,42,5.5,9,5,1.5,32,,,,,,,,,,
2008-09-20,Digis,NA,NA,NA,40.2,7.8,9.5,4.7,1.9,28,,,,,,,,,,
2008-09-22,CONSORTIUM,NA,NA,NA,42,5.5,9,5,1.5,32,,,,,,,,,,
2008-09-28,Digis,NA,NA,NA,40.7,7.7,9.3,4.9,1.8,28.2,,,,,,,,,,
2008-09-29,CONSORTIUM,NA,NA,NA,42,6,9,5,,31,,,,,,,,,,
2008-10-06,CONSORTIUM,NA,NA,NA,42.5,5,8.5,5,1.5,32,,,,,,,,,,
2008-10-07,Digis,NA,NA,NA,40.5,7.2,9.2,5.2,2.2,29,,,,,,,,,,
2008-10-08,Dinamiche,NA,NA,NA,39.8,9.1,9,5.1,1.6,28.2,,,,,,,,,,
2008-10-12,EUROMEDIA,NA,NA,NA,42.7,5.4,9.4,4,1.2,28.8,,,,,,,,,,
2008-10-13,CONSORTIUM,NA,NA,NA,41.5,5,9,5,1.5,32.5,,,,,,,,,,
2008-10-20,CONSORTIUM,NA,NA,NA,42,5.5,8.5,5,1,33,,,,,,,,,,
2008-10-21,EUROMEDIA,NA,NA,NA,40.1,5.7,9.5,3.8,1.4,29.8,,,,,,,,,,
2008-10-27,CONSORTIUM,NA,NA,NA,41.5,5,9,5,1,32.5,,,,,,,,,,
2008-11-03,CONSORTIUM,NA,NA,NA,42,5.5,8,4.5,,31.25,,,,,,,,,,
2008-11-10,CONSORTIUM,NA,NA,NA,41,4.5,9,4.5,1.5,34,,,,,,,,,,
2008-11-17,CONSORTIUM,NA,NA,NA,41,5,9.5,4.5,1.5,34,,,,,,,,,,
2008-11-24,CONSORTIUM,NA,NA,NA,41,5,9.5,4.5,1.5,34,,,,,,,,,,
2008-12-01,CONSORTIUM,NA,NA,NA,41.5,5,9.5,4.5,1,34,,,,,,,,,,
2008-12-04,IPR,NA,NA,NA,39,7.8,7.5,4,1.5,28,,,,,,,,,,
2008-12-07,CONSORTIUM,NA,NA,NA,42,5,9.5,4.5,1,33.5,,,,,,,,,,
2008-12-12,IPSOS,NA,NA,NA,37.2,9.8,10.2,6.1,,27.1,,,,,,,,,,
2008-12-18,DEMOS,NA,NA,NA,37.6,9.3,9.7,5.6,,27.5,,,,,,,,,,
2008-12-19,CRESPI,NA,NA,NA,40,7.5,11.5,5,2,27.5,,,,,,,,,,
2009-01-04,CONSORTIUM,NA,NA,NA,41,6.5,9.5,6,1.5,29.5,,,,,,,,,,
2009-01-08,SWG,NA,NA,NA,38,8.5,8.5,4.5,2,24,,,,,,,,,,
2009-01-12,IPSOS,NA,NA,NA,38.2,9.5,11.2,6,1,25,,,,,,,,,,
2009-02-20,CRESPI,NA,NA,NA,42,8,10,6.2,2,21.8,,,,,,,,,,
2009-02-22,IPSOS,NA,NA,NA,37.3,9.7,10.9,6.3,,24.3,,,,,,,,,,
2009-02-23,Digis,NA,NA,NA,39.7,10,11.3,6,2,24,,,,,,,,,,
2009-02-27,IPR,NA,NA,NA,36,8,9.5,8,2,22,,,,,,,,,,
2009-02-28,EUROMEDIA,NA,NA,NA,42,7.5,10,5.9,,22,,,,,,,,,,
2009-03-02,Digis,NA,NA,NA,39.5,9.5,11.3,6.5,1.5,23.5,,,,,,,,,,
2009-03-03,CRESPI,NA,NA,NA,38.5,8,11,7,,23.5,,,,,,,,,,
2009-03-15,IPSOS,NA,NA,NA,37.5,9.7,10.8,6.2,,25.3,,,,,,,,,,
2009-03-22,DEMOS,NA,NA,NA,38.7,8.6,9.2,7,,26.2,,,,,,,,,,
2009-03-23,Digis,NA,NA,NA,39.5,8.3,11,5.8,1.5,24.2,,,,,,,,,,
2009-03-24,EUROMEDIA,NA,NA,NA,43.1,7.3,10.7,5,,22.4,,,,,,,,,,
2009-04-10,Digis,NA,NA,NA,40.5,7.8,10.3,6,,25,,,,,,,,,,
2009-04-18,Digis,NA,NA,NA,40,7.7,10.5,5.8,,25,,,,,,,,,,
2009-04-20,IPSOS,NA,NA,NA,39.5,9.2,9.7,5.8,,26.2,,,,,,,,,,
2009-04-22,CRESPI,NA,NA,NA,43,6,9,5,,24,,,,,,,,,,
2009-04-26,TP,NA,NA,NA,39.8,5.9,9.7,6,,26.9,,,,,,,,,,
2009-04-27,Digis,NA,NA,NA,39.8,8.2,10.6,5.8,,25.3,,,,,,,,,,
2009-04-29,Demopolis,NA,NA,NA,41,7.5,9.5,6.5,,26,,,,,,,,,,
2009-04-30,TP,NA,NA,NA,38.1,7.3,10.3,6.1,,25.4,,,,,,,,,,
2009-04-30,CRESPI,NA,NA,NA,41.5,7,10,5.7,,25,,,,,,,,,,
2009-05-02,Digis,NA,NA,NA,40.2,8.4,10.4,5.8,,25,,,,,,,,,,
2009-05-05,IPSOS,NA,NA,NA,40,9,9.4,6.4,,26.5,,,,,,,,,,
2009-05-07,TP,NA,NA,NA,37.4,7.7,9.8,5.6,,26.9,,,,,,,,,,
2009-05-11,Digis,NA,NA,NA,40.1,8.2,9.5,6,,25,,,,,,,,,,
2009-05-12,CRESPI,NA,NA,NA,41,7,10,6,,25.5,,,,,,,,,,
2009-05-13,Demopolis,NA,NA,NA,40,7.5,10.5,6,,25.5,,,,,,,,,,
2009-05-14,TP,NA,NA,NA,39.8,6.6,9.5,5.3,,26.5,,,,,,,,,,
2009-05-15,DEMOS,NA,NA,NA,38.8,8.2,10.1,7.2,,25.7,,,,,,,,,,
2009-05-18,Digis,NA,NA,NA,40.8,7.5,8.5,4.8,,26.1,,,,,,,,,,
2009-05-19,LORIEN,NA,NA,NA,39.7,7.2,9.6,6.6,,27.4,,,,,,,,,,
2009-05-20,ISPO,NA,NA,NA,38.5,8.5,9.5,6.5,,27,,,,,,,,,,
2009-05-20,CRESPI,NA,NA,NA,40,7.2,10.3,6,,25.7,,,,,,,,,,
2009-05-21,TP,NA,NA,NA,38.5,6.1,9.6,5.5,,26.2,,,,,,,,,,
2009-05-21,Demopolis,NA,NA,NA,40,8,10,5.8,,26,,,,,,,,,,
2009-06-07,"EUROPEE 2009",NA,NA,NA,35.3,8,10.2,6.5,,26.1,,,,,,,,,,
2009-09-05,Digis,NA,NA,NA,38,8.5,11.5,6,,25,,,,,,,,,,
2009-10-19,Digis,NA,NA,NA,40,8.5,10,6,,28.5,,,,,,,,,,
2009-10-26,IPSOS,NA,NA,NA,38.7,7.8,10,6.6,,30,,,,,,,,,,
2009-11-09,IPSOS,NA,NA,NA,38.8,7.6,9.9,6.8,,30.2,,,,,,,,,,
2009-11-11,Digis,NA,NA,NA,39.5,7.8,9.5,7.2,,29,,,,,,,,,,
2009-11-13,EUROMEDIA,NA,NA,NA,38.5,7.3,9.8,7,,27.8,,,,,,,,,,
2009-11-20,ISPO,NA,NA,NA,38.2,7.7,8.5,6.8,,27.9,,,,,,,,,,
2009-11-23,IPSOS,NA,NA,NA,38.4,7.3,10.2,6.3,0.8,30.8,,,,,,,,,,
2009-11-27,IPSOS,NA,NA,NA,38,7.4,10.3,6,1.1,30.5,,,,,,,,,,
2009-11-30,Digis,NA,NA,NA,38.2,7,10.4,7.5,,29.1,,,,,,,,,,
2009-12-14,IPSOS,NA,NA,NA,39.6,6.9,9.3,6.5,0.3,30,,,,,,,,,,
2009-12-17,EUROMEDIA,NA,NA,NA,39.2,6.5,9.1,5.9,,29.5,,,,,,,,,,
2009-12-21,Digis,NA,NA,NA,39.5,7,11,6,,29,,,,,,,,,,
2010-01-11,Digis,NA,NA,NA,39,7.5,10,7,1,28.5,,,,,,,,,,
2010-01-13,IPSOS,NA,NA,NA,39,7.2,9.8,6.2,0.7,29.3,,,,,,,,,,
2010-01-25,Digis,NA,NA,NA,39,6.8,10.5,6.3,0.8,28.5,,,,,,,,,,
2010-01-27,IPSOS,NA,NA,NA,38.5,6.8,10.2,6.2,0.8,29.5,,,,,,,,,,
2010-02-01,IPR,NA,NA,NA,37.5,7,11,6.5,1,27,,,,,,,,,,
2010-02-02,IPSOS,NA,NA,NA,38.2,6.6,10.5,5.7,0.7,29.7,,,,,,,,,,
2010-02-02,Digis,NA,NA,NA,39.2,6.7,10.1,6.6,0.7,28.8,,,,,,,,,,
2010-02-08,ISPO,NA,NA,NA,38,7.5,9,6.5,,27.5,,,,,,,,,,
2010-02-08,Digis,NA,NA,NA,38.6,6.4,10.6,6.3,1,28.7,,,,,,,,,,
2010-02-10,IPSOS,NA,NA,NA,38.1,7,10.5,5.9,0.8,29.5,,,,,,,,,,
2010-02-14,SWG,NA,NA,NA,34,8.5,11.5,5,,28,,,,,,,,,,
2010-03-01,DEMOS,NA,NA,NA,36.8,7.4,10.1,6.8,,28,,,,,,,,,,
2010-03-05,TP,NA,NA,NA,36,6.9,11.1,6.6,1.3,28.1,,,,,,,,,,
2010-04-26,Digis,NA,NA,NA,37,7.2,11.5,5.7,1,27.5,,,,,,,,,,
2010-05-03,IPSOS,NA,NA,NA,35.1,8.8,11.9,5.1,,27,,,,,,,,,,
2010-06-20,IPSOS,NA,NA,NA,34.2,8.2,12.5,5.4,1.5,26.1,,,,,,,,,,
2010-07-19,LORIEN,NA,NA,NA,32.2,7.9,13.1,6.1,0.6,27.1,,,,,,,,,,
2010-07-19,Digis,NA,NA,NA,34.7,7.3,11.6,6.6,2,28.2,,,,,,,,,,
2010-07-20,IPSOS,NA,NA,NA,33,8,12,5.5,1.5,26,,,,,,,,,,
2010-07-25,Demopolis,NA,NA,NA,33,7.5,13,7,,27,,,,,,,,,,
2010-09-01,ISPO,NA,NA,NA,29.7,6.3,11.5,6.4,,26.7,1,,,,,,,,,
2010-09-02,LORIEN,NA,NA,NA,29.9,6.9,14.1,6.3,,27,2.1,,,,,,,,,
2010-09-06,Digis,NA,NA,NA,30.6,7.1,11.7,6,,26.9,1.3,,,,,,,,,
2010-09-09,SWG,NA,NA,NA,27,6,12.5,5.5,,25,4,,,,,,,,,
2010-09-13,IPSOS,NA,NA,NA,29.4,7.9,12.4,6.2,,25.7,2,,,,,,,,,
2010-09-16,IPR,NA,NA,NA,30.5,5.1,11.7,7,,24.5,2.6,,,,,,,,,
2010-09-30,ISPO,NA,NA,NA,29,6.4,12.9,5,,24.9,2,,,,,,,,,
2010-10-01,IPR,NA,NA,NA,30,6,12,7,,25,2.5,,,,,,,,,
2010-10-02,EUROMEDIA,NA,NA,NA,30.9,8.1,12.1,6.3,,24.7,1.7,,,,,,,,,
2010-10-04,IPSOS,NA,NA,NA,29,7.3,12.1,5.8,,25,4,,,,,,,,,
2010-10-14,EMG,NA,NA,NA,29.5,5.5,12.1,5.9,,26,2.6,,,,,,,,,
2010-10-16,LORIEN,NA,NA,NA,28.5,7,13.4,6.5,,26.1,3,,,,,,,,,
2010-10-21,EMG,NA,NA,NA,28.9,5.8,11.8,6.1,,26.4,2.5,,,,,,,,,
2010-10-25,IPSOS,NA,NA,NA,29,8.3,11.3,6,,24.2,3.7,,,,,,,,,
2010-10-25,EUROMEDIA,NA,NA,NA,30,7,12.7,6.2,,25.2,2.8,,,,,,,,,
2010-10-28,EMG,NA,NA,NA,28.8,6.1,11.9,6.5,,25.7,2.4,,,,,,,,,
2010-11-02,IPSOS,NA,NA,NA,28.3,8,11.8,6,,24.4,3.6,,,,,,,,,
2010-11-02,IPR,NA,NA,NA,28.5,5.5,12,6.5,,26.5,2.5,,,,,,,,,
2010-11-04,SWG,NA,NA,NA,24,5,13,4.5,,24.5,4.5,,,,,,,,,
2010-11-04,ISPO,NA,NA,NA,27.9,6.4,12.5,6,,25.5,5.4,,,,,,,,,
2010-11-04,EMG,NA,NA,NA,28.7,6,11.7,6.5,,25.9,2.2,,,,,,,,,
2010-11-06,Digis,NA,NA,NA,27.7,6.7,12.3,6,,24.4,3,,,,,,,,,
2010-11-08,IPSOS,NA,NA,NA,26.5,7.6,11.6,5.8,,23.4,4,,,,,,,,,
2010-11-08,EUROMEDIA,NA,NA,NA,30,6.5,13,6.5,,25,2.5,,,,,,,,,
2010-11-09,Demopolis,NA,NA,NA,27,7,13,6.7,,23.5,2.5,,,,,,,,,
2010-11-11,ISPO,NA,NA,NA,26.5,6.3,11.8,5.8,,24.2,2.1,,,,,,,,,
2010-11-11,EMG,NA,NA,NA,28.5,5.8,11.4,6.1,,25.9,2.7,,,,,,,,,
2010-11-13,EUROMEDIA,NA,NA,NA,29,7,13,7,,24.5,2.5,,,,,,,,,
2010-11-13,Digis,NA,NA,NA,26.9,6.5,12.3,6.1,,24.2,2.8,,,,,,,,,
2010-11-15,IPSOS,NA,NA,NA,26.3,7.6,11.8,6.3,,23.3,3.3,,,,,,,,,
2010-11-17,LORIEN,NA,NA,NA,27.1,7.9,12.3,6.2,,24.5,3.4,,,,,,,,,
2010-11-18,IPR,NA,NA,NA,28.5,5,12.5,7,,26,2.5,,,,,,,,,
2010-11-18,EMG,NA,NA,NA,27.8,5.9,12.2,6.2,,25.2,2.5,,,,,,,,,
2010-11-22,IPSOS,NA,NA,NA,26.6,7.4,12.2,6.2,,23.8,2.8,,,,,,,,,
2010-11-25,EMG,NA,NA,NA,28.5,5.6,11.9,6.5,,24.8,2.4,,,,,,,,,
2010-11-26,EUROMEDIA,NA,NA,NA,29.1,6.6,12.6,6.2,,24.5,2.5,,,,,,,,,
2010-11-29,IPSOS,NA,NA,NA,27.1,7.6,11.7,5.8,,23.6,2.5,,,,,,,,,
2010-12-02,EMG,NA,NA,NA,28.2,5.2,11.7,6.9,,25,2.2,,,,,,,,,
2010-12-06,IPSOS,NA,NA,NA,27.4,7.4,11.6,5.6,,24.1,2.4,,,,,,,,,
2010-12-08,LORIEN,NA,NA,NA,28.2,7.6,12.7,6.8,,23,2.1,,,,,,,,,
2010-12-09,ISPO,NA,NA,NA,27.6,6.3,12,5.3,,25,2.2,,,,,,,,,
2010-12-09,IPR,NA,NA,NA,29,4.5,12,7.5,,26,1.5,,,,,,,,,
2010-12-10,SWG,NA,NA,NA,26.5,5,11.5,4.5,,25,4,,,,,,,,,
2010-12-10,COESIS,NA,NA,NA,29.5,6,10,6.5,,27,2,,,,,,,,,
2010-12-11,EMG,NA,NA,NA,28.9,4.7,11.4,6.6,,25.3,2,,,,,,,,,
2010-12-14,EUROMEDIA,NA,NA,NA,30.2,5.8,12.8,6.8,,25.2,2.5,,,,,,,,,
2010-12-15,ISPO,NA,NA,NA,31.8,5.5,10.7,6.2,,24.6,3.1,,,,,,,,,
2010-12-16,IPR,NA,NA,NA,29.5,5,12,6.5,,26,2,,,,,,,,,
2010-12-16,Demopolis,NA,NA,NA,28.5,5,12.2,6.8,,25,2.5,,,,,,,,,
2010-12-17,EMG,NA,NA,NA,30.3,5.1,11.4,6.2,,24.7,2.2,,,,,,,,,
2010-12-20,Digis,NA,NA,NA,30.7,5.8,11.5,6.6,,25.1,2,,,,,,,,,
2010-12-20,Demopolis,NA,NA,NA,28,5.5,12.5,7.3,,25,2.5,,,,,,,,,
2011-01-09,CFI,NA,NA,NA,30,6,10.4,5,,26.2,1.8,,,,,,,,,
2011-01-12,EMG,NA,NA,NA,30,6,11.2,6.3,,24.3,1.9,,,,,,,,,
2011-01-15,IPR,NA,NA,NA,29.5,5,12,6.5,,26,2,,,,,,,,,
2011-01-17,EMG,NA,NA,NA,30,6,11.2,6.3,1.1,24.3,1.9,,,,,,,,,
2011-01-18,PIEPOLI,NA,NA,NA,31.5,5.5,10.5,6.5,,25,2,,,,,,,,,
2011-01-18,LORIEN,NA,NA,NA,30.2,6,11.4,6.7,,24.8,3.4,,,,,,,,,
2011-01-20,ISPO,NA,NA,NA,30.2,5.5,10.5,6.8,,24.5,1.8,,,,,,,,,
2011-01-20,EMG,NA,NA,NA,28.6,5.9,10.9,7.1,,23.2,1.6,,,,,,,,,
2011-01-21,IPSOS,NA,NA,NA,27,6.8,11.7,5.9,,25.3,2,,,,,,,,,
2011-01-22,LORIEN,NA,NA,NA,30.2,6,11.4,6.7,0.8,24.8,2.6,,,,,,,,,
2011-01-22,Digis,NA,NA,NA,29.4,6,11.9,6.6,,24.3,2.2,,,,,,,,,
2011-01-23,SWG,NA,NA,NA,26.5,5,12,5.5,,24,3,,,,,,,,,
2011-01-23,ISPO,NA,NA,NA,30.2,5.5,10.5,6.8,1,24.5,1.8,,,,,,,,,
2011-01-23,CFI,NA,NA,NA,30.2,5,9.6,5.4,,30.1,0.9,,,,,,,,,
2011-01-24,IPSOS,NA,NA,NA,30,5.6,10.6,6.9,,24.6,1.7,,,,,,,,,
2011-01-24,EUROMEDIA,NA,NA,NA,32,6,12,6.5,,25,2,,,,,,,,,
2011-01-24,EMG,NA,NA,NA,28.6,5.9,10.9,7.1,1.2,23.2,1.6,,,,,,,,,
2011-01-25,SWG,NA,NA,NA,26.5,5,12,5.5,2,24,3,,,,,,,,,
2011-01-25,ISPO,NA,NA,NA,30,5.6,10.6,6.9,1.1,24.6,1.7,,,,,,,,,
2011-01-25,EUROMEDIA,NA,NA,NA,32,6,12,6.5,1.5,25,2,,,,,,,,,
2011-01-26,IPSOS,NA,NA,NA,27,6.8,11.7,5.9,1.2,25.3,2,,,,,,,,,
2011-01-27,LORIEN,NA,NA,NA,28.6,6.2,11.3,7.3,0.3,25.3,2.9,,,,,,,,,
2011-01-27,CRESPI,NA,NA,NA,27,5.3,11,7.2,1.8,23,1.8,,,,,,,,,
2011-01-28,Digis,NA,NA,NA,29.4,6,11.9,6.6,1.2,24.3,2.2,,,,,,,,,
2011-01-31,EMG,NA,NA,NA,29.7,5.6,10.7,6.7,1.2,23.8,1.5,,,,,,,,,
2011-01-31,CFI,NA,NA,NA,30,5.8,9.8,5.2,,29.6,,,,,,,,,,
2011-02-01,PIEPOLI,NA,NA,NA,31.5,5,10.5,6.5,,25.5,2,,,,,,,,,
2011-02-01,IPSOS,NA,NA,NA,27,6.5,11.8,6,1,25.5,2.2,,,,,,,,,
2011-02-03,LORIEN,NA,NA,NA,28.6,6.2,11.3,7.3,0.3,25.3,2.9,,,,,,,,,
2011-02-03,IPR,NA,NA,NA,29.5,5.5,12,6.3,1.7,25.5,1,,,,,,,,,
2011-02-05,IPR,NA,NA,NA,29.5,5.5,12,6.5,1.7,25.5,1,,,,,,,,,
2011-02-07,EMG,NA,NA,NA,30.2,5.3,11.1,6.5,1,24.7,1.2,,,,,,,,,
2011-02-07,CFI,NA,NA,NA,30.8,5.2,9,5.7,,30.4,0.9,,,,,,,,,
2011-02-08,IPSOS,NA,NA,NA,27.6,6.8,11.5,5.8,1.1,25.8,2.4,,,,,,,,,
2011-02-09,PIEPOLI,NA,NA,NA,31.5,5,10.5,6.5,,26,2,,,,,,,,,
2011-02-12,IPR,NA,NA,NA,29.5,5,12,6.5,,25.5,1.5,,,,,,,,,
2011-02-12,FULLRESEARCH,NA,NA,NA,28.7,5.3,10.5,6.5,1.6,24.3,2.5,,,,,,,,,
2011-02-14,EMG,NA,NA,NA,30.3,5.1,11.4,6.2,1.1,25.3,1.6,,,,,,,,,
2011-02-14,DEMOS,NA,NA,NA,27.2,5.9,11.8,7.1,,24.3,3.6,,,,,,,,,
2011-02-15,IPSOS,NA,NA,NA,27.9,6.6,11.3,6,1,26,2.4,,,,,,,,,
2011-02-15,CFI,NA,NA,NA,31,4.4,9.3,5.3,,30.6,1.6,,,,,,,,,
2011-02-16,LORIEN,NA,NA,NA,30,5.7,11.1,7.1,0.5,24.7,2.5,,,,,,,,,
2011-02-16,FULLRESEARCH,NA,NA,NA,28,5.4,10,6.5,1.5,25,2.5,,,,,,,,,
2011-02-17,Digis,NA,NA,NA,28.6,6,11.4,6.3,1.5,24.4,2,,,,,,,,,
2011-02-18,Demopolis,NA,NA,NA,27.5,5.9,11.3,6.9,1.4,24.5,2.1,,,,,,,,,
2011-02-19,IPR,NA,NA,NA,29,5.5,11.5,6.5,,26,1.5,,,,,,,,,
2011-02-21,EMG,NA,NA,NA,29.9,5.6,10.8,6.7,1.1,26.1,1.6,,,,,,,,,
2011-02-21,CFI,NA,NA,NA,30.8,5.3,9.2,6,,30.3,1.7,,,,,,,,,
2011-02-22,IPSOS,NA,NA,NA,28.4,6.5,11,5.8,0.9,26.7,2.6,,,,,,,,,
2011-02-23,ISPO,NA,NA,NA,30.6,5.2,9.9,5.4,1.3,25.8,1.7,,,,,,,,,
